Producto,Bodega,País,Mundo,Tipo,URL
Origen,Resalte,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/resalte-origen/
9 Meses,Carmelo Rodero,España,Viejo Mundo,,https://vvb.com.mx/wp/producto/carmelo-rodero-tsm-ribera-del-duero/
TSM,Carmelo Rodero,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/carmelo-rodero-tsm/
Reserva,Carmelo Rodero,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/carmelo-rodero-reserva/
Pago de Valtarreña,Carmelo Rodero,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/carmelo-rodero-pago-de-valtarrena/
Crianza,Carmelo Rodero,España,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/carmelo-rodero-crianza/
Merlot,Pierre Jean,Francia,Viejo Mundo,Tinto ,https://vvb.com.mx/wp/producto/pierre-jean-merlot/
Vin Santo,Barone de Ricasoli,Italia,Viejo Mundo, Blanco,https://vvb.com.mx/wp/producto/barone-de-ricasoli-vin-santo/
Moreau Petit Chablis,J. Moreau & Fils,Francia,Viejo Mundo,Blanco ,https://vvb.com.mx/wp/producto/j-moreau-fils-moreau-petit-chablis-750ml/
R Saint – Emilion,Légende,Francia,Viejo Mundo,Tinto,https://vvb.com.mx/wp/producto/legende-r-saint-emilion/
